Date,Forecasted_Demand,Safety_Stock,Inventory_Required
2015-01-30,5356.3184,535.63184,5891.95
2015-01-31,5157.591,515.7591,5673.35
2015-02-02,5862.319,586.2319,6448.551
2015-02-03,5637.8433,563.78436,6201.6274
2015-02-04,4680.509,468.05087,5148.5596
2015-02-05,4864.9707,486.49707,5351.468
2015-02-06,4561.9336,456.19336,5018.127
2015-02-07,4887.0264,488.70264,5375.729
2015-02-09,3862.373,386.2373,4248.6104
2015-02-10,3724.1133,372.41135,4096.5244
2015-02-11,3750.4114,375.04114,4125.4526
2015-02-12,3742.0122,374.20123,4116.2134
2015-02-13,4241.8247,424.18246,4666.0073
2015-02-14,4770.5273,477.05273,5247.58
2015-02-16,5570.6865,557.06866,6127.7554
2015-02-17,4502.095,450.20953,4952.3047
2015-02-18,4232.795,423.2795,4656.074
2015-02-19,4503.337,450.3337,4953.6704
2015-02-20,4940.02,494.002,5434.022
2015-02-21,4817.4937,481.74936,5299.243
2015-02-23,3943.1472,394.31473,4337.462
2015-02-24,3693.5403,369.35403,4062.8943
2015-02-25,3921.674,392.16742,4313.8413
2015-02-26,3766.3447,376.6345,4142.979
2015-02-27,4337.83,433.78302,4771.6133
2015-02-28,4938.9565,493.89566,5432.852
2015-03-02,5869.046,586.9046,6455.9507
2015-03-03,5535.755,553.5755,6089.3306
2015-03-04,5098.747,509.87473,5608.6216
2015-03-05,5013.928,501.39282,5515.3213
2015-03-06,5240.0703,524.007,5764.077
2015-03-07,4795.0977,479.50977,5274.6074
2015-03-09,3841.4507,384.14508,4225.5957
2015-03-10,3661.0046,366.10046,4027.105
2015-03-11,3724.4932,372.4493,4096.9424
2015-03-12,3804.7827,380.47827,4185.2607
2015-03-13,3972.9128,397.2913,4370.204
2015-03-14,4782.938,478.2938,5261.232
2015-03-16,5717.317,571.7317,6289.049
2015-03-17,5057.7754,505.77756,5563.5527
2015-03-18,4307.136,430.71362,4737.8496
2015-03-19,4394.419,439.4419,4833.861
2015-03-20,4470.745,447.07452,4917.82
2015-03-21,4560.128,456.0128,5016.1406
2015-03-23,3489.9067,348.9907,3838.8975
2015-03-24,3109.4734,310.94736,3420.4207
2015-03-25,3449.7102,344.97104,3794.6812
2015-03-26,3571.4714,357.14716,3928.6187
2015-03-27,3846.4504,384.64505,4231.0957
2015-03-28,4734.7554,473.47556,5208.231
2015-03-30,5994.2007,599.4201,6593.6206
2015-03-31,5809.7344,580.97345,6390.708
2015-04-01,5555.7915,555.57916,6111.3706
2015-04-02,6029.0273,602.9028,6631.93
2015-04-04,5812.531,581.2531,6393.7837
2015-04-07,5062.4326,506.24326,5568.676
2015-04-08,4251.5547,425.1555,4676.71
2015-04-09,4282.041,428.2041,4710.245
2015-04-10,4107.999,410.7999,4518.799
2015-04-11,4378.0923,437.80923,4815.9014
2015-04-13,6128.904,612.8904,6741.794
2015-04-14,5320.3594,532.03595,5852.3955
2015-04-15,4811.9844,481.19846,5293.1826
2015-04-16,4857.4097,485.74097,5343.1504
2015-04-17,4874.632,487.4632,5362.095
2015-04-18,4407.549,440.75488,4848.3037
2015-04-20,3851.013,385.1013,4236.1143
2015-04-21,3363.7314,336.37314,3700.1045
2015-04-22,3398.8264,339.88266,3738.709
2015-04-23,3375.967,337.5967,3713.5637
2015-04-24,3687.256,368.72562,4055.9817
2015-04-25,4072.3088,407.2309,4479.5396
2015-04-27,4851.7446,485.17447,5336.919
2015-04-28,5068.8984,506.88986,5575.788
2015-04-29,5023.2285,502.32285,5525.5513
2015-04-30,5821.888,582.18884,6404.077
2015-05-02,5233.9033,523.3903,5757.2935
2015-05-04,5733.5244,573.3525,6306.877
2015-05-05,5209.9624,520.9963,5730.9585
2015-05-06,4788.1235,478.81235,5266.936
2015-05-07,4811.0063,481.10065,5292.107
2015-05-08,4587.788,458.7788,5046.567
2015-05-09,4541.0103,454.10104,4995.1113
2015-05-11,3568.922,356.8922,3925.8145
2015-05-12,3411.8022,341.18024,3752.9824
2015-05-13,3979.2234,397.92233,4377.1455
2015-05-15,4337.1084,433.71085,4770.8193
2015-05-16,4615.809,461.5809,5077.39
2015-05-18,5404.033,540.4033,5944.4365
2015-05-19,4578.296,457.8296,5036.1255
2015-05-20,4815.6665,481.56665,5297.2334
2015-05-21,4360.194,436.01938,4796.2134
2015-05-22,4742.048,474.2048,5216.2524
2015-05-23,4582.0317,458.2032,5040.235
2015-05-26,3822.1445,382.21445,4204.359
2015-05-27,3994.865,399.4865,4394.3516
2015-05-28,4056.721,405.6721,4462.393
2015-05-29,4802.6094,480.26096,5282.87
2015-05-30,5130.7803,513.07806,5643.8584
2015-06-01,5792.378,579.2378,6371.6157
2015-06-02,5679.319,567.9319,6247.251
2015-06-03,5040.8975,504.08975,5544.9873
2015-06-05,5578.3267,557.8327,6136.159
2015-06-06,4795.7773,479.57773,5275.355
2015-06-08,4017.983,401.7983,4419.7812
2015-06-09,3888.5784,388.85785,4277.436
2015-06-10,3801.0789,380.10788,4181.1865
2015-06-11,3720.8088,372.0809,4092.8896
2015-06-12,3810.5635,381.05637,4191.6196
2015-06-13,4303.3013,430.33014,4733.6313
2015-06-15,5460.8896,546.089,6006.9785
2015-06-16,5298.228,529.8228,5828.051
2015-06-17,4746.0205,474.60205,5220.6226
2015-06-18,4402.65,440.26498,4842.915
2015-06-19,4400.2646,440.02646,4840.291
2015-06-20,4257.278,425.72778,4683.006
2015-06-22,3767.1108,376.7111,4143.822
2015-06-23,3454.256,345.42563,3799.6816
2015-06-24,3274.2524,327.42526,3601.6777
2015-06-25,3408.7747,340.87747,3749.652
2015-06-26,3745.6929,374.5693,4120.262
2015-06-27,4303.174,430.31738,4733.491
2015-06-29,5120.1064,512.0107,5632.117
2015-06-30,5004.071,500.40707,5504.478
2015-07-01,5183.496,518.3496,5701.8457
2015-07-02,4839.025,483.9025,5322.9272
2015-07-03,5061.62,506.16202,5567.782
2015-07-04,4648.5747,464.85748,5113.432
2015-07-06,4180.179,418.0179,4598.1973
2015-07-07,3990.267,399.0267,4389.294
2015-07-08,3706.51,370.651,4077.1611
2015-07-09,3737.3552,373.73553,4111.091
2015-07-10,3789.5803,378.95804,4168.5386
2015-07-11,4163.6006,416.36008,4579.9604
2015-07-13,5638.792,563.8792,6202.6714
2015-07-14,5332.305,533.2305,5865.5356
2015-07-15,5031.4414,503.14413,5534.5854
2015-07-16,4393.093,439.3093,4832.402
2015-07-17,4521.981,452.1981,4974.179
2015-07-18,4353.257,435.32568,4788.5825
2015-07-20,3843.2083,384.32083,4227.5293
2015-07-21,3716.3225,371.63226,4087.9548
2015-07-22,3562.7559,356.2756,3919.0315
2015-07-23,3561.9028,356.19028,3918.093
2015-07-24,3721.6594,372.16595,4093.8254
2015-07-25,4086.2002,408.62003,4494.8203
2015-07-27,5751.3745,575.13745,6326.5117
2015-07-28,5749.6772,574.9677,6324.645
2015-07-29,5027.9556,502.79556,5530.751
2015-07-30,4945.468,494.54678,5440.0146
2015-07-31,5366.7275,536.6728,5903.4004
