day,week,month,year,day_of_week,is_weekend,Promo,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,StateHoliday_a,StateHoliday_b,StateHoliday_c,StateHoliday_none,Sales
4,6,2,2013,0,0,1,5970.0,5598.0,4127.0,5530.0,5103.571428571428,5284.142857142857,5054.857142857143,0,0,0,1,7032
5,6,2,2013,1,0,1,7032.0,4055.0,5182.0,4327.0,5388.428571428572,5346.071428571428,5116.357142857143,0,0,0,1,6049
6,6,2,2013,2,0,1,6049.0,3725.0,5394.0,4486.0,5733.428571428572,5399.357142857143,5175.428571428572,0,0,0,1,6140
7,6,2,2013,3,0,1,6140.0,4601.0,5720.0,4997.0,5861.714285714285,5383.571428571428,5193.357142857143,0,0,0,1,5499
8,6,2,2013,4,0,1,5499.0,4709.0,5578.0,7176.0,6000.571428571428,5390.928571428572,5139.964285714285,0,0,0,1,5681
9,6,2,2013,5,1,0,5681.0,5633.0,5195.0,5580.0,5963.0,5403.428571428572,5132.464285714285,0,0,0,1,5370
11,7,2,2013,0,0,0,5370.0,5970.0,5586.0,5471.0,5740.0,5319.357142857143,5094.535714285715,0,0,0,1,4409
12,7,2,2013,1,0,0,4409.0,7032.0,5598.0,4892.0,5309.0,5206.285714285715,5063.214285714285,0,0,0,1,4015
13,7,2,2013,2,0,0,4015.0,6049.0,4055.0,4881.0,5052.285714285715,5220.357142857143,5040.75,0,0,0,1,4252
14,7,2,2013,3,0,0,4252.0,6140.0,3725.0,4952.0,4781.0,5257.214285714285,5015.357142857143,0,0,0,1,4241
15,7,2,2013,4,0,0,4241.0,5499.0,4601.0,4717.0,4682.428571428572,5272.071428571428,5018.642857142857,0,0,0,1,4809
16,7,2,2013,5,1,0,4809.0,5681.0,4709.0,3900.0,4750.0,5375.285714285715,5099.142857142857,0,0,0,1,6154
18,8,2,2013,0,0,1,6154.0,5370.0,5633.0,4008.0,4898.142857142857,5430.571428571428,5184.821428571428,0,0,0,1,6407
19,8,2,2013,1,0,1,6407.0,4409.0,5970.0,4044.0,5037.714285714285,5388.857142857143,5232.75,0,0,0,1,5386
20,8,2,2013,2,0,1,5386.0,4015.0,7032.0,4127.0,5272.714285714285,5290.857142857143,5287.5,0,0,0,1,5660
21,8,2,2013,3,0,1,5660.0,4252.0,6049.0,5182.0,5416.857142857143,5234.571428571428,5290.321428571428,0,0,0,1,5261
22,8,2,2013,4,0,1,5261.0,4241.0,6140.0,5394.0,5525.285714285715,5153.142857142857,5276.25,0,0,0,1,5000
23,8,2,2013,5,1,0,5000.0,4809.0,5499.0,5720.0,5586.428571428572,5134.428571428572,5259.0,0,0,0,1,5237
25,9,2,2013,0,0,0,5237.0,6154.0,5681.0,5578.0,5284.142857142857,5017.071428571428,5204.0,0,0,0,1,4038
26,9,2,2013,1,0,0,4038.0,6407.0,5370.0,5195.0,4910.857142857143,4904.5,5153.964285714285,0,0,0,1,3794
27,9,2,2013,2,0,0,3794.0,5386.0,4409.0,5586.0,4792.571428571428,4915.142857142857,5117.25,0,0,0,1,4558
28,9,2,2013,3,0,0,4558.0,5660.0,4015.0,5598.0,4652.0,4962.357142857143,5084.321428571428,0,0,0,1,4676
1,9,3,2013,4,0,0,4676.0,5261.0,4252.0,4055.0,4559.142857142857,4988.0,5104.178571428572,0,0,0,1,4611
2,9,3,2013,5,1,0,4611.0,5000.0,4241.0,3725.0,4609.142857142857,5067.214285714285,5162.214285714285,0,0,0,1,5350
4,10,3,2013,0,0,1,5350.0,5237.0,4809.0,4601.0,4957.428571428572,5271.928571428572,5272.0,0,0,0,1,7675
5,10,3,2013,1,0,1,7675.0,4038.0,6154.0,4709.0,5280.571428571428,5282.357142857143,5328.821428571428,0,0,0,1,6300
6,10,3,2013,2,0,1,6300.0,3794.0,6407.0,5633.0,5591.857142857143,5251.357142857143,5340.964285714285,0,0,0,1,5973
